Paper title,Paper link,Year of publishing,Number of citations,Keywords,Relevant for study,Duplicate,Reviewer,Applicable/Non Applicable,Reason for choosing/ not choosing the research paper
"Zebra: an efficient, RDMA-enabled distributed persistent memory file system",https://link.springer.com/chapter/10.1007/978-3-031-00123-9_28,2022,2,"""Optane"" ""File+System""",Yes,,,,
{FlatFS}: Flatten Hierarchical File System Namespace on Non-volatile Memories,https://www.usenix.org/conference/atc22/presentation/cai,2022,8,"""Optane"" ""File+System""",Yes,,,,
An Empirical Evaluation and Analysis of Performance of Multiple Optane SSDs,https://ieeexplore.ieee.org/abstract/document/9333865/,2021,4,"""Optane"" ""File+System""",Yes,,,,
Kernel/user-level collaborative persistent memory file system with efficiency and protection,https://arxiv.org/abs/1908.10740,1908,4,"""Optane"" ""File+System""",No,,,,
ITEC-OS Teaching-Bachelor and Master Theses-Finished Theses-GPU4FS: A Graphics Processor-Accelerated File System,https://os.itec.kit.edu/97_3851.php,2022,0,"""Optane"" ""File+System""",Yes,,,,
Is Data Migration Evil in the NVM File System?,https://ieeexplore.ieee.org/abstract/document/9599236/,2021,1,"""Optane"" ""File+System""",Yes,,,,
FINCHFS: Design of Ad-Hoc File System for I/O Heavy HPC Workloads,https://ieeexplore.ieee.org/abstract/document/10740840/,2024,1,"""Optane"" ""File+System""",Yes,,,,
UnifyFS: A user-level shared file system for unified access to distributed local storage,https://ieeexplore.ieee.org/abstract/document/10177390/,2023,24,"""Optane"" ""File+System""",Yes,,,,
System measurement of Intel AEP Optane DIMM,https://arxiv.org/abs/2009.14469,2009,2,"""Optane"" ""File+System""",No,,,,
RomeFS: A CXL-SSD Aware File System Exploiting Synergy of Memory-Block Dual Paths,https://dl.acm.org/doi/abs/10.1145/3698038.3698539,2024,2,"""Optane"" ""File+System""",Yes,,,,
A Survey on File Defragmentation Techniques on Modern Storage Systems,https://ieeexplore.ieee.org/abstract/document/10393099/,2023,0,"""Optane"" ""File+System""",Yes,,,,
RAID on a File System Level for GPU4FS,https://os.itec.kit.edu/downloads/2023_BA_Lucka_RAID_GPU4FS.pdf,2023,0,"""Optane"" ""File+System""",Yes,,,,
Leveraging Intel Optane for HPC Workflows,http://nvmw.ucsd.edu/nvmw2021-program/nvmw2021-data/nvmw2021-paper11-final_version_your_extended_abstract.pdf,,0,"""Optane"" ""File+System""",No,,,,
Evaluating the latest Optane memory: A glorious swansong?,https://www.research.ed.ac.uk/en/publications/evaluating-the-latest-optane-memory-a-glorious-swansong,2023,0,"""Optane"" ""File+System""",Yes,,,,
A performance study of optane persistent memory: from storage data structures' perspective,https://link.springer.com/article/10.1007/s42514-022-00123-x,2022,6,"""Optane"" ""File+System""",Yes,,,,
Intel Optane Data Center Persistent Memory,https://ieeexplore.ieee.org/abstract/document/8875668/,,0,"""Optane"" ""File+System""",No,,,,
Performance characterization of a dram-nvm hybrid memory architecture for hpc applications using intel optane dc persistent memory modules,https://dl.acm.org/doi/abs/10.1145/3357526.3357541,2019,81,"""Optane"" ""File+System""",Yes,,,,
A survey of non-volatile main memory file systems,https://link.springer.com/article/10.1007/s11390-023-1054-3,2023,3,"""Optane"" ""File+System""",Yes,,,,
Directories for GPU4FS,https://os.itec.kit.edu/downloads/2023_BA_Kittner_Dirs_for_GPU4FS.pdf,2023,0,"""Optane"" ""File+System""",Yes,,,,
Chameleondb: a key-value store for optane persistent memory,https://dl.acm.org/doi/abs/10.1145/3447786.3456237,2021,96,"""Optane"" ""File+System""",Yes,,,,
Parallelizing shared file I/O operations of NVM file system for manycore servers,https://ieeexplore.ieee.org/abstract/document/9336709/,2021,6,"""Optane"" ""File+System""",Yes,,,,
{GeminiFS}: A Companion File System for {GPUs},https://www.usenix.org/conference/fast25/presentation/qiu,2025,0,"""Optane"" ""File+System""",Yes,,,,
A performance study of optane persistent memory: From indexing data structures' perspective,https://msstconference.org/MSST-history/2020/Papers/02.APerformanceStudyOptane.pdf,2020,3,"""Optane"" ""File+System""",Yes,,,,
Assise: performance and availability via NVM colocation in a distributed file system,https://arxiv.org/abs/1910.05106,2019,8,"""Optane"" ""File+System""",Yes,,,,
A Study of LS-DYNA® Implicit Running the Rolls-Royce® Large Representative Engine Model with Intel® Optane™ DC Persistent Memory Technology,https://lsdyna.ansys.com/wp-content/uploads/attachments/t8-1-f-computing-technology-188.pdf,,0,"""Optane"" ""File+System""",No,,,,
TPFS: a high-performance tiered file system for persistent memories and disks,https://dl.acm.org/doi/abs/10.1145/3580280,2023,9,"""Optane"" ""File+System""",Yes,,,,
Fast checkpointing of Large Language Models with TensorStore CHFS,https://sc23.supercomputing.org/proceedings/src_poster/poster_files/spostg105s3-file1.pdf,,0,"""Optane"" ""File+System""",No,,,,
File system designs on low-latency storage devices,https://repositories.lib.utexas.edu/items/d6dd0ab1-32ad-44e5-9211-ba53f703c2a1,2020,0,"""Optane"" ""File+System""",Yes,,,,
ReoFS: A Read-Efficient and Write-Optimized File System for Persistent Memory,https://ieeexplore.ieee.org/abstract/document/9376188/,2020,0,"""Optane"" ""File+System""",Yes,,,,
Assise: Performance and Availability via Client-local NVM in a Distributed File System Thomas E. Anderson1 Marco Canini2 Jongyul Kim3 Dejan Kostic4 Youngjin …,https://sands.kaust.edu.sa/papers/assise.osdi20.pdf,,0,"""Optane"" ""File+System""",No,,,,
ctFs: Eliminating File Indexing with Contiguous File System on Persistent Memory,https://search.proquest.com/openview/73a2e2151a3e00fdf1799911ec37ad78/1?pq-origsite=gscholar&cbl=18750&diss=y,2022,0,"""Optane"" ""File+System""",Yes,,,,
Assise: Performance and Availability via Client-local NVM in a Distributed File System,https://wreda.github.io/papers/assise-osdi20.pdf,2020,0,"""Optane"" ""File+System""",Yes,,,,
Single machine graph analytics on massive datasets using intel optane dc persistent memory,https://arxiv.org/abs/1904.07162,2019,104,"""Optane"" ""File+System""",Yes,,,,
Enabling high-performance and secure userspace nvm file systems with the trio architecture,https://dl.acm.org/doi/abs/10.1145/3600006.3613171,2023,16,"""Optane"" ""File+System""",Yes,,,,
Performance Analytics of Graph Algorithms Using Intel Optane DC Persistent Memory,https://search.proquest.com/openview/59840d772290d600c1b8a7f566c93e15/1?pq-origsite=gscholar&cbl=18750&diss=y,2021,0,"""Optane"" ""File+System""",Yes,,,,
{CrossFS}: A cross-layered {Direct-Access} file system,https://www.usenix.org/conference/osdi20/presentation/ren,2020,44,"""Optane"" ""File+System""",Yes,,,,
Exploring efficient architectures on remote in-memory nvm over rdma,https://dl.acm.org/doi/abs/10.1145/3477004,2021,6,"""Optane"" ""File+System""",Yes,,,,
Libnvmmio: Reconstructing software {IO} path with {Failure-Atomic}{Memory-Mapped} interface,https://www.usenix.org/conference/atc20/presentation/choi,2020,40,"""Optane"" ""File+System""",Yes,,,,
On stacking a persistent memory file system on legacy file systems,https://www.usenix.org/conference/fast23/presentation/woo,2023,27,"""Optane"" ""File+System""",Yes,,,,
"Exploiting Flat Namespace to Improve File System Metadata Performance on Ultra-Fast, Byte-Addressable NVMs",https://dl.acm.org/doi/abs/10.1145/3620673,2024,1,"""Optane"" ""File+System""",Yes,,,,
